plot_order,LAT,LON,H_LI, FILLED
472,-66.03453,-61.91599,51.80677,54.11493
473,-66.03436,-61.91594,51.79376,54.11493
474,-66.03418,-61.91589,51.75392,54.11493
475,-66.034,-61.91584,51.72376,54.11493
476,-66.03382,-61.91579,51.72196,54.11493
477,-66.03365,-61.91574,51.72323,54.11493
478,-66.03347,-61.91569,51.71696,54.11493
479,-66.03329,-61.91564,51.70942,54.11493
480,-66.03311,-61.91559,51.71855,54.11493
481,-66.03294,-61.91554,51.72066,54.11493
482,-66.03276,-61.91549,51.70121,54.11493
483,-66.03258,-61.91544,51.67279,54.11493
484,-66.0324,-61.91539,51.61821,54.11493
485,-66.03223,-61.91534,51.55928,54.11493
486,-66.03205,-61.91529,51.5091,54.11493
487,-66.03187,-61.91524,51.48393,54.11493
488,-66.03169,-61.91519,51.44887,54.11493
489,-66.03152,-61.91514,51.3961,54.11493
490,-66.03134,-61.91509,51.35148,54.11493
491,-66.03116,-61.91504,51.31908,54.11493
492,-66.03098,-61.91499,51.2821,54.11493
493,-66.03081,-61.91494,51.2242,54.11493
494,-66.03063,-61.91489,51.17059,54.11493
495,-66.03045,-61.91484,51.1208,54.11493
496,-66.03027,-61.91479,51.06655,54.11493
497,-66.0301,-61.91474,51.01433,54.11493
498,-66.02992,-61.91469,50.97321,54.11493
499,-66.02974,-61.91465,50.94294,54.11493
500,-66.02956,-61.9146,50.89369,54.11493
501,-66.02939,-61.91455,50.82671,54.11493
502,-66.02921,-61.9145,50.78106,54.11493
503,-66.02903,-61.91445,50.75178,54.11493
504,-66.02885,-61.9144,50.69431,54.11493
505,-66.02868,-61.91435,50.5975,54.11493
506,-66.0285,-61.9143,50.56945,54.11493
507,-66.02832,-61.91425,50.56952,54.11493
508,-66.02814,-61.9142,50.53583,54.11493
509,-66.02797,-61.91415,50.52565,54.11493
510,-66.02779,-61.91411,50.53358,54.11493
511,-66.02761,-61.91406,50.52362,54.11493
512,-66.02743,-61.91401,50.52177,54.11493
513,-66.02726,-61.91396,50.53215,54.11493
514,-66.02708,-61.91391,50.55909,54.11493
515,-66.0269,-61.91386,50.61221,54.11493
516,-66.02672,-61.91381,50.67939,54.11493
517,-66.02655,-61.91376,50.7552,54.11493
518,-66.02637,-61.91371,50.80197,54.11493
519,-66.02619,-61.91366,50.87889,54.11493
520,-66.02601,-61.91361,51.00545,54.11493
521,-66.02584,-61.91356,51.13724,54.11493
522,-66.02566,-61.91351,51.26695,54.11493
523,-66.02548,-61.91346,51.38209,54.11493
524,-66.02531,-61.91341,51.46708,54.11493
525,-66.02513,-61.91336,51.57385,54.11493
526,-66.02495,-61.91331,51.71969,54.11493
527,-66.02477,-61.91326,51.84644,54.11493
528,-66.0246,-61.91321,51.93086,54.11493
529,-66.02442,-61.91316,52.02554,54.11493
530,-66.02424,-61.91311,52.08355,54.11493
531,-66.02406,-61.91306,52.13927,54.11493
532,-66.02389,-61.91301,52.19534,54.11493
533,-66.02371,-61.91296,52.19189,54.11493
534,-66.02353,-61.91291,52.14968,54.11493
535,-66.02335,-61.91286,52.09384,54.11493
536,-66.02318,-61.91281,52.01702,54.11493
537,-66.023,-61.91276,51.9191,54.11493
538,-66.02282,-61.91271,51.79717,54.11493
539,-66.02264,-61.91266,51.60109,54.11493
540,-66.02247,-61.91261,51.34803,54.11493
541,-66.02229,-61.91257,51.04203,54.11493
542,-66.02211,-61.91252,50.67805,54.11493
543,-66.02193,-61.91247,50.23584,54.11493
544,-66.02176,-61.91242,49.74258,54.11493
545,-66.02158,-61.91237,49.21923,54.11493
546,-66.0214,-61.91232,48.51768,54.11493
547,-66.02122,-61.91227,47.61749,54.11493
548,-66.02105,-61.91222,46.68143,54.11493
549,-66.02087,-61.91217,45.54258,54.11493
550,-66.02069,-61.91212,44.10303,54.11493
551,-66.02051,-61.91207,42.44359,54.11493
552,-66.02034,-61.91202,40.4736,54.11493
553,-66.02016,-61.91197,38.18773,54.11493
554,-66.01998,-61.91192,35.57564,54.11493
555,-66.0198,-61.91188,32.75541,54.11493
556,-66.01963,-61.91183,30.08849,54.11493
557,-66.01945,-61.91178,28.08866,54.11493
558,-66.01927,-61.91173,28.05454,54.11493
559,-66.01909,-61.91168,29.22488,54.11493
560,-66.01874,-61.91158,39.90919,54.11493
561,-66.01856,-61.91153,42.48092,54.11493
562,-66.01838,-61.91148,44.1944,54.11493
563,-66.01821,-61.91143,45.49143,54.11493
564,-66.01803,-61.91138,46.69473,54.11493
565,-66.01785,-61.91133,47.62177,54.11493
566,-66.01767,-61.91128,48.39153,54.11493
567,-66.0175,-61.91123,49.0043,54.11493
568,-66.01732,-61.91118,49.39894,54.11493
569,-66.01714,-61.91113,49.67819,54.11493
570,-66.01696,-61.91108,49.8076,54.11493
571,-66.01679,-61.91103,49.7825,54.11493
572,-66.01661,-61.91099,49.63778,54.11493
573,-66.01643,-61.91094,49.4287,54.11493
574,-66.01625,-61.91089,49.12993,54.11493
575,-66.01608,-61.91084,48.75368,54.11493
576,-66.0159,-61.91079,48.28207,54.11493
577,-66.01572,-61.91074,47.7581,54.11493
578,-66.01554,-61.91069,47.2043,54.11493
579,-66.01537,-61.91064,46.58017,54.11493
