plot_order,LAT,LON,H_LI,LEVEL-1
486,-66.08387,-61.92984,53.87695,53.87695
487,-66.08369,-61.92979,53.85352,53.85352
488,-66.08352,-61.92974,53.82891,53.82891
489,-66.08334,-61.92969,53.85586,53.85586
490,-66.08316,-61.92964,53.90558,53.90558
491,-66.08298,-61.92959,53.92093,53.92093
492,-66.0828,-61.92954,53.92723,53.92723
493,-66.08262,-61.92949,53.96717,53.96717
494,-66.08245,-61.92944,53.99949,53.99949
495,-66.08227,-61.92939,53.99395,53.99395
496,-66.0821,-61.92934,54.00764,54.00764
497,-66.08192,-61.92929,54.02893,54.02893
498,-66.08174,-61.92924,54.04696,54.04696
499,-66.08156,-61.92919,54.07027,54.07027
500,-66.08139,-61.92914,54.09283,54.09283
501,-66.08121,-61.92909,54.09557,54.09557
502,-66.08103,-61.92904,54.10371,54.10371
503,-66.08085,-61.92899,54.11493,54.11493
504,-66.08068,-61.92894,54.08132,54.08132
505,-66.0805,-61.92889,54.07448,54.07448
506,-66.08032,-61.92884,54.10379,54.10379
507,-66.08014,-61.92879,54.09588,54.09588
508,-66.07997,-61.92874,54.06279,54.06279
509,-66.07979,-61.92869,54.07098,54.07098
510,-66.07961,-61.92864,54.09044,54.09044
511,-66.07943,-61.92859,54.05797,54.05797
512,-66.07926,-61.92854,54.01865,54.01865
513,-66.07908,-61.92849,54.02805,54.02805
514,-66.0789,-61.92844,54.03511,54.03511
515,-66.07872,-61.92839,54.04627,54.04627
516,-66.07855,-61.92834,54.0556,54.0556
517,-66.07837,-61.9283,54.03415,54.03415
518,-66.07819,-61.92825,54.03344,54.03344
519,-66.07801,-61.92819,54.03693,54.03693
520,-66.07784,-61.92814,54.02266,54.02266
521,-66.07766,-61.92809,54.03275,54.03275
522,-66.07748,-61.92804,54.0233,54.0233
523,-66.0773,-61.92799,54.00601,54.00601
524,-66.07713,-61.92794,53.97224,53.97224
525,-66.07695,-61.92789,53.92455,53.92455
526,-66.07677,-61.92784,53.92895,53.92895
527,-66.07659,-61.92779,53.92102,53.92102
528,-66.07642,-61.92774,53.89548,53.89548
529,-66.07624,-61.92769,53.88394,53.88394
530,-66.07606,-61.92764,53.87608,53.87608
531,-66.07588,-61.92759,53.88491,53.88491
532,-66.07571,-61.92754,53.87812,53.87812
533,-66.07553,-61.92749,53.86033,53.86033
534,-66.07535,-61.92744,53.84845,53.84845
